Username,Comment
fathur rahman saputra,"analisa gw, kalo prabowo menang, jokowi bakal di lepasin kekuasaannya 1 per 1. gibran cm wapres, orang2 istana bakalan mayoritas orang2 prabowo… ingat, 2019 mereka yg menghina jokowi sekarang ada 1 barisan dengan jokowi. kalo prabowo kalah,musnah sudah keluarga jokowi dari lingakaran kekuasaan dan hancur pula karir politik  keluarga jokowi,tanda itu berarti masyarakat sudah memberikan cap buruk kepada keluarga jokowi… prabowo bukan orang bodoh,dia sudah berkali2 ikut kontestasi politik,dia akan lakukan apapun untuk meraih kekuasaan… bahkan sekarang menjilat pantat jokowi pun dilakukan. sekarang sudah terlanjur,jokowi maju dimakan singa,jokowi mundur dimakan buaya…
pelajaran bagi orang yg rakus kekuasaan… Salam RAKUS…"
Karni Raharjo,"Pak prabowo memiliki visi jangka panjang yang berfokus pada pembangunan Indonesia yang lebih baik, didasarkan pada perencanaan dan persiapan matang."
Randi Hardianto,"Prabowo adalah pemimpin yang berkomitmen untuk menjaga kedaulatan dan keamanan negara, dan ia memiliki rekam jejak yang kuat dalam hal ini."
yuda hermanto,Pengalaman pak prabowo di diplomasi internasionalnya membuatnya sangat cocok untuk mewakili Indonesia sebagai seorang pemimpin di tingkat global.
Ely Haryono,Mantaap mas Bobby.. Al in Prabowo Gibran 2024🎉🎉🎉
Rika Yulianto,Keberhasilannya dalam menjalankan peran sebagai Panglima Komando Cadangan Strategis Angkatan Darat menunjukkan komitmen dan kemampuannya dalam mengelola sumber daya.
Nadia Salimah,Prabowo Subianto adalah seorang pemimpin yang telah membuktikan dirinya melalui pengalaman militer dan kepemimpinan yang kuat.
Risa Muka,"Rakyat sudah pintar, All in ganjar pranowo Presiden 2024"
Parker Minten,dukung saudara ipar
You,"Kluarga kacang lupa kulitnya,"
Sukirno mpd,Prabowo-Gibran   ? NO    NO   NO ....
Anton Suyanto,PRABOWO/GUBRAN MAKIN KOKOH
Yoko 1210,keluargaberencana
Aas,"suara pdip habis dah, minimal ada penurunan suara yang signnifikan"
naldo,"Ntr juga mrk pasti pindah PSI, karena alasan udh jelas, Kaesang ada di sana, gk mungkin kan, Gibran sama Boby melawan Kaesang dalam kontestasi politik nanti.."
Anom sarjono,sehat selalu mas Bobby Nasution 🙏
Alfarisi Ltd,"ya eaalahh,,,, namnya jg keluarga joko😂. klok ngk cerai lah"
Aldes Aldes,Tetap anis broo
Arjun Suryajun,Ini kalau Prabowo cawapresnya Erick Thohir pasti gak serame ini. Fanatisme ultras banteng boleh juga 😂😂. Beda sama fans amin yang lebih santai
BLOTONG FAMILY,","
Yohanes,DINASTI JOKOWI HARUS KITA LAWAN. JANGAN ADA ANAK MUDA YG DIISTIMEWAKAN KARNA HUKUM YANG DIAKALI. KASIHAN ANAK MUDA INDONESIA YG BUKAN ANAK PRESIDEN. SANGAT TIDAK ADIL. LAWAN MK. LAWAN DINASTI JOKOWI
Sony Sony,😂😂 jokowi pinokio.. sutradara drakor penilu sayang anak
Asfiyah Asfiyah,Kegaduhan ini di ciptakan jokowi yg mebiarkan gibran maju cln plesiden
Budi Asih,Pemimpin yg tdk punya prinsip  pagi kedelai sore tempe MK  sekarang berubah jadi majelis keluarga
jamal ali gansa,Prabowo menang indonesia emas yes..
